Plate Header;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filed;Data;;Instruction;;;;;;;;;;;;;;;;;;;;;;;;;;
Version;1;;Do not modify this field.;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Size;96;;Do not modify this field.;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Type;BR Clear;;Allowed values (BR White;BR Clear);;;;;;;;;;;;;;;;;;;;;;;;;
Scan Mode;All Channels;;"Allowed values (""SYBR/FAM Only""";" ""All Channels""";" ""FRET"")";;;;;;;;;;;;;;;;;;;;;;;;
Units;copy number;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Run ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Run Notes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Run Protocol;RespProtocol.prcl;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data File;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Ch1 Dye;Ch2 Dye;Ch3 Dye;Ch4 Dye;Ch5 Dye;FRET;Sample Type;Sample Name;Ch1 Target Name;Ch2 Target Name;Ch3 Target Name;Ch4 Target Name;Ch5 Target Name;FRET Target Name;Biological Set Name;Replicate;Ch1 Quantity;Ch2 Quantity;Ch3 Quantity;Ch4 Quantity;Ch5 Quantity;FRET Quantity;Well Note;Ch1 Well Color;Ch2 Well Color;Ch3 Well Color;Ch4 Well Color;Ch5 Well Color;FRET Well Color
A01;FAM;;;;;;Unknown;B4895673;Adeno;;;;;;;;;;;;;;;-8372160;;;;;
A02;FAM;;;;;;Unknown;B4895674;Adeno;;;;;;;;;;;;;;;-8372160;;;;;
A03;FAM;;;;;;Unknown;B4895675;Adeno;;;;;;;;;;;;;;;-8372160
A04;FAM;;;;;;Unknown;B4895676;Adeno;;;;;;;;;;;;;;;-8372160
A05;FAM;;;;;;Unknown;B4895677;Adeno;;;;;;;;;;;;;;;-8372160
A06;FAM;;;;;;Unknown;B4895678;Adeno;;;;;;;;;;;;;;;-8372160
A07;FAM;;;;;;Unknown;B4895679;Adeno;;;;;;;;;;;;;;;-8372160
A08;FAM;;;;;;Unknown;B4895680;Adeno;;;;;;;;;;;;;;;-8372160
A09;FAM;;;;;;Unknown;B4895681;Adeno;;;;;;;;;;;;;;;-8372160
A10;FAM;;;;;;Unknown;B4895682;Adeno;;;;;;;;;;;;;;;-8372160
A11;FAM;;;;;;Unknown;B4895683;Adeno;;;;;;;;;;;;;;;-8372160
A12;FAM;;;;;;Unknown;B4895684;Adeno;;;;;;;;;;;;;;;-8372160
B01;FAM;;;;;;Unknown;B4895673;h18S;;;;;;;;;;;;;;;-8372160
B02;FAM;;;;;;Unknown;B4895674;h18S;;;;;;;;;;;;;;;-8372160
B03;FAM;;;;;;Unknown;B4895675;h18S;;;;;;;;;;;;;;;-8372160
B04;FAM;;;;;;Unknown;B4895676;h18S;;;;;;;;;;;;;;;-8372160
B05;FAM;;;;;;Unknown;B4895677;h18S;;;;;;;;;;;;;;;-8372160
B06;FAM;;;;;;Unknown;B4895678;h18S;;;;;;;;;;;;;;;-8372160
B07;FAM;;;;;;Unknown;B4895679;h18S;;;;;;;;;;;;;;;-8372160
B08;FAM;;;;;;Unknown;B4895680;h18S;;;;;;;;;;;;;;;-8372160
B09;FAM;;;;;;Unknown;B4895681;h18S;;;;;;;;;;;;;;;-8372160
